"condition" "typerepeat" "nb_of_sv" "runocc"
"random" "All" 3984 "82"
"random" "SD" 3984 "82"
"random" "NoSD" 3711 "82"
"random" "LINE" 1751 "82"
"random" "SINE" 461 "82"
"random" "DNA" 2105 "82"
"random" "LTR" 282 "82"
"random" "All" 3987 "83"
"random" "SD" 3986 "83"
"random" "NoSD" 3662 "83"
"random" "LINE" 1716 "83"
"random" "SINE" 459 "83"
"random" "DNA" 2115 "83"
"random" "LTR" 311 "83"
"random" "All" 3984 "84"
"random" "SD" 3984 "84"
"random" "NoSD" 3664 "84"
"random" "LINE" 1655 "84"
"random" "SINE" 446 "84"
"random" "DNA" 2117 "84"
"random" "LTR" 267 "84"
"random" "All" 3985 "85"
"random" "SD" 3985 "85"
"random" "NoSD" 3647 "85"
"random" "LINE" 1694 "85"
"random" "SINE" 454 "85"
"random" "DNA" 2065 "85"
"random" "LTR" 307 "85"
"random" "All" 3983 "86"
"random" "SD" 3983 "86"
"random" "NoSD" 3661 "86"
"random" "LINE" 1686 "86"
"random" "SINE" 422 "86"
"random" "DNA" 2084 "86"
"random" "LTR" 301 "86"
"random" "All" 3984 "87"
"random" "SD" 3984 "87"
"random" "NoSD" 3644 "87"
"random" "LINE" 1703 "87"
"random" "SINE" 458 "87"
"random" "DNA" 2080 "87"
"random" "LTR" 272 "87"
"random" "All" 3981 "88"
"random" "SD" 3981 "88"
"random" "NoSD" 3642 "88"
"random" "LINE" 1658 "88"
"random" "SINE" 488 "88"
"random" "DNA" 2072 "88"
"random" "LTR" 307 "88"
"random" "All" 3986 "89"
"random" "SD" 3984 "89"
"random" "NoSD" 3658 "89"
"random" "LINE" 1686 "89"
"random" "SINE" 471 "89"
"random" "DNA" 2095 "89"
"random" "LTR" 267 "89"
"random" "All" 3986 "90"
"random" "SD" 3986 "90"
"random" "NoSD" 3665 "90"
"random" "LINE" 1665 "90"
"random" "SINE" 460 "90"
"random" "DNA" 2080 "90"
"random" "LTR" 294 "90"
"random" "All" 3985 "91"
"random" "SD" 3985 "91"
"random" "NoSD" 3655 "91"
"random" "LINE" 1718 "91"
"random" "SINE" 482 "91"
"random" "DNA" 2146 "91"
"random" "LTR" 279 "91"
"random" "All" 3982 "92"
"random" "SD" 3982 "92"
"random" "NoSD" 3638 "92"
"random" "LINE" 1663 "92"
"random" "SINE" 469 "92"
"random" "DNA" 2040 "92"
"random" "LTR" 273 "92"
"random" "All" 3984 "93"
"random" "SD" 3983 "93"
"random" "NoSD" 3662 "93"
"random" "LINE" 1673 "93"
"random" "SINE" 499 "93"
"random" "DNA" 2080 "93"
"random" "LTR" 321 "93"
"random" "All" 3985 "94"
"random" "SD" 3984 "94"
"random" "NoSD" 3649 "94"
"random" "LINE" 1717 "94"
"random" "SINE" 473 "94"
"random" "DNA" 2130 "94"
"random" "LTR" 285 "94"
"random" "All" 3984 "95"
"random" "SD" 3984 "95"
"random" "NoSD" 3658 "95"
"random" "LINE" 1708 "95"
"random" "SINE" 505 "95"
"random" "DNA" 2105 "95"
"random" "LTR" 278 "95"
"random" "All" 3983 "96"
"random" "SD" 3983 "96"
"random" "NoSD" 3646 "96"
"random" "LINE" 1678 "96"
"random" "SINE" 472 "96"
"random" "DNA" 2049 "96"
"random" "LTR" 298 "96"
"random" "All" 3985 "97"
"random" "SD" 3985 "97"
"random" "NoSD" 3669 "97"
"random" "LINE" 1689 "97"
"random" "SINE" 454 "97"
"random" "DNA" 2082 "97"
"random" "LTR" 295 "97"
"random" "All" 3978 "98"
"random" "SD" 3978 "98"
"random" "NoSD" 3670 "98"
"random" "LINE" 1708 "98"
"random" "SINE" 472 "98"
"random" "DNA" 2123 "98"
"random" "LTR" 281 "98"
"random" "All" 3987 "99"
"random" "SD" 3986 "99"
"random" "NoSD" 3689 "99"
"random" "LINE" 1664 "99"
"random" "SINE" 482 "99"
"random" "DNA" 2088 "99"
"random" "LTR" 312 "99"
"random" "All" 3984 "100"
"random" "SD" 3982 "100"
"random" "NoSD" 3672 "100"
"random" "LINE" 1719 "100"
"random" "SINE" 449 "100"
"random" "DNA" 2130 "100"
"random" "LTR" 269 "100"
"random" "All" 3985 "101"
"random" "SD" 3984 "101"
"random" "NoSD" 3669 "101"
"random" "LINE" 1690 "101"
"random" "SINE" 445 "101"
"random" "DNA" 2082 "101"
"random" "LTR" 281 "101"
"random" "All" 3983 "102"
"random" "SD" 3982 "102"
"random" "NoSD" 3663 "102"
"random" "LINE" 1688 "102"
"random" "SINE" 464 "102"
"random" "DNA" 2115 "102"
"random" "LTR" 275 "102"
"random" "All" 3982 "103"
"random" "SD" 3981 "103"
"random" "NoSD" 3666 "103"
"random" "LINE" 1743 "103"
"random" "SINE" 487 "103"
"random" "DNA" 2123 "103"
"random" "LTR" 278 "103"
"random" "All" 3985 "104"
"random" "SD" 3985 "104"
"random" "NoSD" 3678 "104"
"random" "LINE" 1697 "104"
"random" "SINE" 453 "104"
"random" "DNA" 2079 "104"
"random" "LTR" 276 "104"
"random" "All" 3983 "105"
"random" "SD" 3983 "105"
"random" "NoSD" 3643 "105"
"random" "LINE" 1663 "105"
"random" "SINE" 464 "105"
"random" "DNA" 2149 "105"
"random" "LTR" 312 "105"
"random" "All" 3984 "106"
"random" "SD" 3982 "106"
"random" "NoSD" 3669 "106"
"random" "LINE" 1732 "106"
"random" "SINE" 482 "106"
"random" "DNA" 2127 "106"
"random" "LTR" 327 "106"
"random" "All" 3985 "107"
"random" "SD" 3984 "107"
"random" "NoSD" 3676 "107"
"random" "LINE" 1700 "107"
"random" "SINE" 457 "107"
"random" "DNA" 2130 "107"
"random" "LTR" 293 "107"
"random" "All" 3983 "108"
"random" "SD" 3982 "108"
"random" "NoSD" 3686 "108"
"random" "LINE" 1686 "108"
"random" "SINE" 438 "108"
"random" "DNA" 2117 "108"
"random" "LTR" 271 "108"
"random" "All" 3984 "109"
"random" "SD" 3984 "109"
"random" "NoSD" 3671 "109"
"random" "LINE" 1661 "109"
"random" "SINE" 465 "109"
"random" "DNA" 2054 "109"
"random" "LTR" 271 "109"
"random" "All" 3981 "110"
"random" "SD" 3980 "110"
"random" "NoSD" 3632 "110"
"random" "LINE" 1664 "110"
"random" "SINE" 495 "110"
"random" "DNA" 2109 "110"
"random" "LTR" 288 "110"
"random" "All" 3981 "111"
"random" "SD" 3981 "111"
"random" "NoSD" 3692 "111"
"random" "LINE" 1708 "111"
"random" "SINE" 499 "111"
"random" "DNA" 2085 "111"
"random" "LTR" 281 "111"
"random" "All" 3984 "112"
"random" "SD" 3984 "112"
"random" "NoSD" 3651 "112"
"random" "LINE" 1720 "112"
"random" "SINE" 457 "112"
"random" "DNA" 2097 "112"
"random" "LTR" 277 "112"
"random" "All" 3984 "113"
"random" "SD" 3981 "113"
"random" "NoSD" 3676 "113"
"random" "LINE" 1657 "113"
"random" "SINE" 453 "113"
"random" "DNA" 2117 "113"
"random" "LTR" 312 "113"
"random" "All" 3985 "114"
"random" "SD" 3984 "114"
"random" "NoSD" 3676 "114"
"random" "LINE" 1714 "114"
"random" "SINE" 474 "114"
"random" "DNA" 2064 "114"
"random" "LTR" 267 "114"
"random" "All" 3983 "115"
"random" "SD" 3983 "115"
"random" "NoSD" 3647 "115"
"random" "LINE" 1648 "115"
"random" "SINE" 475 "115"
"random" "DNA" 2080 "115"
"random" "LTR" 255 "115"
"random" "All" 3983 "116"
"random" "SD" 3983 "116"
"random" "NoSD" 3670 "116"
"random" "LINE" 1639 "116"
"random" "SINE" 470 "116"
"random" "DNA" 2074 "116"
"random" "LTR" 322 "116"
"random" "All" 3985 "117"
"random" "SD" 3984 "117"
"random" "NoSD" 3657 "117"
"random" "LINE" 1590 "117"
"random" "SINE" 440 "117"
"random" "DNA" 2095 "117"
"random" "LTR" 296 "117"
"random" "All" 3983 "118"
"random" "SD" 3982 "118"
"random" "NoSD" 3677 "118"
"random" "LINE" 1663 "118"
"random" "SINE" 456 "118"
"random" "DNA" 2066 "118"
"random" "LTR" 290 "118"
"random" "All" 3985 "119"
"random" "SD" 3984 "119"
"random" "NoSD" 3663 "119"
"random" "LINE" 1700 "119"
"random" "SINE" 454 "119"
"random" "DNA" 2046 "119"
"random" "LTR" 294 "119"
"random" "All" 3984 "120"
"random" "SD" 3983 "120"
"random" "NoSD" 3652 "120"
"random" "LINE" 1738 "120"
"random" "SINE" 453 "120"
"random" "DNA" 2050 "120"
"random" "LTR" 263 "120"
"random" "All" 3984 "121"
"random" "SD" 3982 "121"
"random" "NoSD" 3629 "121"
"random" "LINE" 1685 "121"
"random" "SINE" 460 "121"
"random" "DNA" 2070 "121"
"random" "LTR" 297 "121"
"random" "All" 3985 "122"
"random" "SD" 3983 "122"
"random" "NoSD" 3695 "122"
"random" "LINE" 1760 "122"
"random" "SINE" 485 "122"
"random" "DNA" 2083 "122"
"random" "LTR" 290 "122"
"random" "All" 3984 "123"
"random" "SD" 3983 "123"
"random" "NoSD" 3655 "123"
"random" "LINE" 1648 "123"
"random" "SINE" 460 "123"
"random" "DNA" 2119 "123"
"random" "LTR" 289 "123"
"random" "All" 3980 "124"
"random" "SD" 3980 "124"
"random" "NoSD" 3654 "124"
"random" "LINE" 1657 "124"
"random" "SINE" 487 "124"
"random" "DNA" 2083 "124"
"random" "LTR" 269 "124"
"random" "All" 3983 "125"
"random" "SD" 3982 "125"
"random" "NoSD" 3641 "125"
"random" "LINE" 1733 "125"
"random" "SINE" 435 "125"
"random" "DNA" 2025 "125"
"random" "LTR" 273 "125"
"random" "All" 3982 "126"
"random" "SD" 3982 "126"
"random" "NoSD" 3661 "126"
"random" "LINE" 1695 "126"
"random" "SINE" 467 "126"
"random" "DNA" 2101 "126"
"random" "LTR" 279 "126"
"random" "All" 3985 "127"
"random" "SD" 3983 "127"
"random" "NoSD" 3671 "127"
"random" "LINE" 1702 "127"
"random" "SINE" 474 "127"
"random" "DNA" 2163 "127"
"random" "LTR" 277 "127"
"random" "All" 3980 "128"
"random" "SD" 3979 "128"
